codigo,titulo,secao,grupo,tipo
USA14,Jogador USA14,Estados Unidos,Grupo D,Comum
USA15,Jogador USA15,Estados Unidos,Grupo D,Comum
USA16,Jogador USA16,Estados Unidos,Grupo D,Comum
USA17,Jogador USA17,Estados Unidos,Grupo D,Comum
USA18,Jogador USA18,Estados Unidos,Grupo D,Comum
USA19,Jogador USA19,Estados Unidos,Grupo D,Comum
USA20,Jogador USA20,Estados Unidos,Grupo D,Comum
PAR5,Jogador PAR5,Paraguai,Grupo D,Comum
PAR6,Jogador PAR6,Paraguai,Grupo D,Comum
PAR7,Jogador PAR7,Paraguai,Grupo D,Comum
PAR8,Jogador PAR8,Paraguai,Grupo D,Comum
PAR9,Jogador PAR9,Paraguai,Grupo D,Comum
PAR10,Jogador PAR10,Paraguai,Grupo D,Comum
PAR11,Escudo,Paraguai,Grupo D,Especial
PAR12,Jogador PAR12,Paraguai,Grupo D,Comum
PAR13,Jogador PAR13,Paraguai,Grupo D,Comum
PAR14,Jogador PAR14,Paraguai,Grupo D,Comum
PAR15,Jogador PAR15,Paraguai,Grupo D,Comum
PAR16,Jogador PAR16,Paraguai,Grupo D,Comum
PAR17,Jogador PAR17,Paraguai,Grupo D,Comum
PAR18,Jogador PAR18,Paraguai,Grupo D,Comum
PAR19,Jogador PAR19,Paraguai,Grupo D,Comum
PAR20,Jogador PAR20,Paraguai,Grupo D,Comum
AUS5,Jogador AUS5,Australia,Grupo D,Comum
TUR5,Jogador TUR5,Turquia,Grupo D,Comum
AUS6,Jogador AUS6,Australia,Grupo D,Comum
TUR6,Jogador TUR6,Turquia,Grupo D,Comum
AUS7,Jogador AUS7,Australia,Grupo D,Comum
TUR7,Jogador TUR7,Turquia,Grupo D,Comum
AUS8,Jogador AUS8,Australia,Grupo D,Comum
TUR8,Jogador TUR8,Turquia,Grupo D,Comum
AUS9,Jogador AUS9,Australia,Grupo D,Comum
TUR9,Jogador TUR9,Turquia,Grupo D,Comum
AUS10,Jogador AUS10,Australia,Grupo D,Comum
AUS11,Escudo,Australia,Grupo D,Especial
AUS12,Jogador AUS12,Australia,Grupo D,Comum
AUS13,Jogador AUS13,Australia,Grupo D,Comum
AUS14,Jogador AUS14,Australia,Grupo D,Comum
AUS15,Jogador AUS15,Australia,Grupo D,Comum
AUS16,Jogador AUS16,Australia,Grupo D,Comum
AUS17,Jogador AUS17,Australia,Grupo D,Comum
AUS18,Jogador AUS18,Australia,Grupo D,Comum
AUS19,Jogador AUS19,Australia,Grupo D,Comum
AUS20,Jogador AUS20,Australia,Grupo D,Comum
TUR10,Jogador TUR10,Turquia,Grupo D,Comum
TUR11,Escudo,Turquia,Grupo D,Especial
TUR12,Jogador TUR12,Turquia,Grupo D,Comum
TUR13,Jogador TUR13,Turquia,Grupo D,Comum
TUR14,Jogador TUR14,Turquia,Grupo D,Comum
TUR15,Jogador TUR15,Turquia,Grupo D,Comum
TUR16,Jogador TUR16,Turquia,Grupo D,Comum
TUR17,Jogador TUR17,Turquia,Grupo D,Comum
TUR18,Jogador TUR18,Turquia,Grupo D,Comum
TUR19,Jogador TUR19,Turquia,Grupo D,Comum
TUR20,Jogador TUR20,Turquia,Grupo D,Comum
GER5,Jogador GER5,Alemanha,Grupo E,Comum
GER6,Jogador GER6,Alemanha,Grupo E,Comum
GER7,Jogador GER7,Alemanha,Grupo E,Comum
GER8,Jogador GER8,Alemanha,Grupo E,Comum
GER9,Jogador GER9,Alemanha,Grupo E,Comum
GER10,Jogador GER10,Alemanha,Grupo E,Comum
GER11,Escudo,Alemanha,Grupo E,Especial
GER12,Jogador GER12,Alemanha,Grupo E,Comum
GER13,Jogador GER13,Alemanha,Grupo E,Comum
GER14,Jogador GER14,Alemanha,Grupo E,Comum
GER15,Jogador GER15,Alemanha,Grupo E,Comum
GER16,Jogador GER16,Alemanha,Grupo E,Comum
GER17,Jogador GER17,Alemanha,Grupo E,Comum
GER18,Jogador GER18,Alemanha,Grupo E,Comum
GER19,Jogador GER19,Alemanha,Grupo E,Comum
GER20,Jogador GER20,Alemanha,Grupo E,Comum
RSA10,Jogador RSA10,Africa do Sul,Grupo A,Comum
RSA11,Escudo,Africa do Sul,Grupo A,Especial
RSA12,Jogador RSA12,Africa do Sul,Grupo A,Comum
RSA13,Jogador RSA13,Africa do Sul,Grupo A,Comum
RSA14,Jogador RSA14,Africa do Sul,Grupo A,Comum
RSA15,Jogador RSA15,Africa do Sul,Grupo A,Comum
RSA16,Jogador RSA16,Africa do Sul,Grupo A,Comum
RSA17,Jogador RSA17,Africa do Sul,Grupo A,Comum
RSA18,Jogador RSA18,Africa do Sul,Grupo A,Comum
RSA19,Jogador RSA19,Africa do Sul,Grupo A,Comum
RSA20,Jogador RSA20,Africa do Sul,Grupo A,Comum
BIH11,Escudo,Bosnia,Grupo B,Especial
BIH12,Jogador BIH12,Bosnia,Grupo B,Comum
BIH13,Jogador BIH13,Bosnia,Grupo B,Comum
BIH14,Jogador BIH14,Bosnia,Grupo B,Comum
BIH15,Jogador BIH15,Bosnia,Grupo B,Comum
BIH16,Jogador BIH16,Bosnia,Grupo B,Comum
BIH17,Jogador BIH17,Bosnia,Grupo B,Comum
